iter	MAE
358	750704.5438
359	750593.6475
360	750057.1896
361	749917.6218
362	749654.3172
363	749410.5443
364	749043.2334
365	748870.2773
366	748607.7331
367	748191.4634
368	747912.696
369	747726.1795
370	747321.9279
371	747087.5785
372	746960.2697
373	746850.8277
374	746212.8971
375	746032.6803
376	745515.5151
377	745191.6504
378	744789.9098
379	744401.6519
380	743977.7977
381	743801.9047
382	743643.4494
383	743193.2527
384	742709.5431
385	742137.2675
386	741916.822
387	741405.6555
388	740951.9985
389	740696.9384
390	740444.773
391	740149.8083
392	739891.0831
393	739606.3216
394	739171.9389
395	738948.4485
396	738605.8345
397	738286.4122
398	737865.3375
399	737578.8849
400	737261.8188
401	737010.5366
402	736694.5566
403	736497.9907
404	736307.3376
405	736135.7213
406	735937.6855
407	735445.8255
408	735175.3556
409	734738.8802
410	734506.7284
411	734429.0709
412	734338.9949
413	734089.1023
414	733915.6729
415	733629.9372
416	733462.9215
417	733299.6591
418	733172.9329
419	732978.7011
420	732898.6517
421	732259.7488
422	731883.0692
423	731621.1478
424	731257.6896
425	730944.043
426	730452.8477
427	730102.7028
428	729944.2404
429	729552.6804
430	729397.6482
431	729226.1262
432	728869.8851
433	728648.7157
434	728520.1206
435	728201.0031
436	727713.5362
437	727216.2433
438	727164.9515
439	726959.4548
440	726817.1193
441	726678.627
442	726582.0061
443	726471.1872
444	726169.0323
445	726110.094
446	725988.5944
447	725754.4833
448	725638.3825
449	725103.3868
450	724573.8188
451	724360.3036
452	724037.9433
453	723845.476
454	723427.4367
455	723259.1377
456	723008.4155
457	722634.2355
458	722351.9383
459	722076.9193
460	721761.4571
461	721472.8443
462	721186.4505
463	720764.1357
464	720586.9362
465	720382.5046
466	720171.7948
467	720034.3687
468	719822.4559
469	719370.5051
470	719019.1071
471	718633.8634
472	718275.2383
473	717959.0721
474	717566.9585
475	717276.7398
476	716943.7895
477	716676.2534
478	716443.974
479	716322.7823
480	716161.2493
481	715658.7568
482	715534.2692
483	715385.8943
484	715139.309
485	714953.5701
486	714750.756
487	714553.161
488	714296.8799
489	714155.5712
490	714002.585
491	713947.0867
492	713753.3104
493	713530.7851
494	713378.2404
495	713194.5107
496	712923.6083
497	712777.2549
498	712665.2515
499	712415.073
500	712218.0521
501	712072.3942
502	711728.5112
