iter	MultiClass
0	0.9548806774
1	0.8460438274
2	0.7598768788
3	0.6900427777
4	0.6313014881
5	0.5805681059
6	0.5387965156
7	0.5017337956
8	0.4706206055
9	0.4433491314
10	0.4187052504
11	0.3977881297
12	0.3782925254
13	0.3618192168
14	0.3475841823
15	0.3339081001
16	0.3214152121
17	0.3105316798
18	0.2987388719
19	0.2904763211
20	0.28156258
21	0.2737762604
22	0.2664302715
23	0.2591160567
24	0.2530055966
25	0.2475323131
26	0.2425963092
27	0.2378846001
28	0.2328607384
29	0.2293621076
30	0.2244631285
31	0.2215927038
32	0.2183849857
33	0.2153130052
34	0.2126258284
35	0.2092342519
36	0.2060902355
37	0.2037878737
38	0.2020325344
39	0.2005294871
40	0.1989256385
41	0.1971689918
42	0.1954164471
43	0.1936737533
44	0.1916140283
45	0.1903808849
46	0.1892136538
47	0.18728857
48	0.1859816129
49	0.1845554779
50	0.18363475
51	0.1823722601
52	0.1812373906
53	0.1800868116
54	0.1783875753
55	0.1769145038
56	0.1762849883
57	0.1755285334
58	0.1745250265
59	0.1734557638
60	0.1723074766
61	0.1719199374
62	0.1709521482
63	0.1701198505
64	0.1695848584
65	0.1683193072
66	0.1673347098
67	0.1665157559
68	0.1662093586
69	0.1656859202
70	0.1647023797
71	0.1639551764
72	0.1636457784
73	0.1633963685
74	0.1629081885
75	0.1624970549
76	0.1620326021
77	0.1618366918
78	0.161593045
79	0.1612524658
80	0.1610932414
81	0.1609322652
82	0.1603544115
83	0.1598686581
84	0.1593695169
85	0.1588735554
86	0.1583462932
87	0.158137729
88	0.1579784776
89	0.1574056761
90	0.1572162829
91	0.156980148
92	0.156882667
93	0.1566323241
94	0.1564395801
95	0.1562466095
96	0.1558971264
97	0.1553703999
98	0.1549082271
99	0.1544104899
100	0.154213053
101	0.1540700857
102	0.1539122276
103	0.1536744939
104	0.1532753331
105	0.1529097952
106	0.1527369454
107	0.1526378621
108	0.1523483794
109	0.1519418437
110	0.1516005672
111	0.1515214127
112	0.151437249
113	0.1512426026
114	0.1511368726
115	0.1507391626
116	0.1505562463
117	0.1504697931
118	0.1501465437
119	0.1499435291
120	0.1498838795
121	0.1496108656
122	0.1495020011
123	0.1493875905
124	0.1493070046
125	0.1491943594
126	0.1491153941
127	0.1490039055
128	0.1487994379
129	0.1487152273
130	0.1485201102
131	0.1482367925
132	0.1480613804
133	0.1479942298
134	0.1478910546
135	0.147673309
136	0.1475446293
137	0.1474667413
138	0.1474141956
139	0.147241487
140	0.1471598241
141	0.1469406263
142	0.1468701969
143	0.1468082251
144	0.1467473276
145	0.1466925254
146	0.1466361978
147	0.1465336161
148	0.1462769874
149	0.1462131578
150	0.1458208658
151	0.1457854706
152	0.1457402473
153	0.1456005922
154	0.1455234771
155	0.145488633
156	0.1453882499
157	0.145357703
158	0.1452777204
159	0.1451861123
160	0.1451582787
161	0.1450871608
162	0.1449409896
163	0.1447667252
164	0.1447136757
165	0.1446699795
166	0.1446149837
167	0.1444615603
168	0.1443921738
169	0.1442286745
170	0.1442134898
171	0.1441556726
172	0.1440162823
173	0.143925277
174	0.143855461
175	0.1438360088
176	0.1437763107
177	0.1436471977
178	0.1436240784
179	0.1435852615
180	0.1435079197
181	0.14340338
182	0.1433104469
183	0.1432678236
184	0.1432464786
185	0.1431671135
186	0.1431256868
187	0.143086937
188	0.1430388832
189	0.1429603297
190	0.1429161262
191	0.1428767067
192	0.1428460347
193	0.1427518791
194	0.1427308613
195	0.1426583999
196	0.1425798275
197	0.142529285
198	0.1424697818
199	0.1423941449
200	0.1423525037
201	0.1422755058
202	0.1422207346
203	0.1421616956
204	0.1421335004
205	0.1420681435
206	0.1420044746
207	0.1418037225
208	0.1417181357
209	0.1414941761
210	0.1414074448
211	0.1413424556
212	0.1412866315
213	0.1412502869
214	0.1412171425
215	0.1411352763
216	0.1410154375
217	0.1409486157
218	0.1409121152
219	0.1408729166
220	0.1408113926
221	0.1407372125
222	0.1407090432
223	0.1406859599
224	0.140667089
225	0.1406272284
226	0.1406003108
227	0.1403124319
228	0.1402927718
229	0.1402374315
230	0.1402128617
231	0.1401494195
232	0.1400024051
233	0.1398971432
234	0.1398372557
235	0.1397656879
236	0.1396850474
237	0.1396323859
238	0.1395879875
239	0.1395312268
240	0.1394683531
241	0.1394302086
242	0.1391458451
243	0.1390745711
244	0.139028407
245	0.1390077184
246	0.138977317
247	0.1389536067
248	0.1387754287
249	0.138664387
250	0.1385713484
251	0.1385157067
252	0.1384315309
253	0.1384159305
254	0.1383553234
255	0.1382453324
256	0.1381597219
257	0.1380381707
258	0.1377494797
259	0.1377235201
260	0.1376778175
261	0.1375818704
262	0.1374986036
263	0.1374082027
264	0.137345618
265	0.1372374837
266	0.1372112349
267	0.1371805645
268	0.1371481608
269	0.1369752683
270	0.1369249054
271	0.1366958095
272	0.1366643331
273	0.1366053022
274	0.1364603239
275	0.1364111794
276	0.1363287675
277	0.1363084778
278	0.1362855288
279	0.1361564682
280	0.1361063599
281	0.136073295
282	0.1358756346
283	0.135838141
284	0.1358040568
285	0.1357891018
286	0.1357224496
287	0.1356818855
288	0.1356558457
289	0.1355707344
290	0.135505347
291	0.1354770538
292	0.1354525358
293	0.1353862243
294	0.1353354997
295	0.1353081069
296	0.1352869362
297	0.1352457257
298	0.1351858597
299	0.1351561053
300	0.1351339957
301	0.1351073961
302	0.1350862424
303	0.1350052766
304	0.1349222014
305	0.1348859714
306	0.1348410897
307	0.1348161808
308	0.1347690027
309	0.1347191144
310	0.1346939342
311	0.1346202996
312	0.1345554822
313	0.1345424637
314	0.134498256
315	0.1344640684
316	0.1344440023
317	0.1343760278
318	0.1342688623
319	0.1342359889
320	0.1340646577
321	0.1339937245
322	0.1339517259
323	0.1338863224
324	0.133795385
325	0.1337395501
326	0.1336658417
327	0.1336195216
328	0.1336025868
329	0.1335647498
330	0.1335366251
331	0.1334899389
332	0.133447101
333	0.1334234755
334	0.1333800479
335	0.1333546091
336	0.1333095695
337	0.1332694561
338	0.1331192991
339	0.1329254271
340	0.1328601799
341	0.1328036549
342	0.1327388678
343	0.132699953
344	0.1326581459
345	0.1325925638
346	0.132517812
347	0.1324958883
348	0.1324405672
349	0.1323443475
350	0.1323050176
351	0.1322576286
352	0.1322004296
353	0.1321679293
354	0.1320979455
355	0.1320539757
356	0.1319908803
357	0.1319371691
358	0.131923317
359	0.1318615384
360	0.1317970265
361	0.1317573741
